measure,location,sex,year,val,upper,lower
incidence_per_1000_uninfected,STP,SEX_FMLE,2016,,,
incidence_per_1000_uninfected,GNB,SEX_FMLE,2020,0.77,1.1,0.51
incidence_per_1000_uninfected,SEN,SEX_BTSX,2019,0.11,0.12,0.1
incidence_per_1000_uninfected,AGO,SEX_FMLE,2017,1.2,1.5,1.0
incidence_per_1000_uninfected,BWA,SEX_MLE,2006,7.9,9.5,6.9
incidence_per_1000_uninfected,UGA,SEX_FMLE,2023,1.1,1.5,0.84
incidence_per_1000_uninfected,CMR,SEX_FMLE,1995,4.8,5.6,4.1
incidence_per_1000_uninfected,MWI,SEX_BTSX,2018,1.4,1.7,1.2
incidence_per_1000_uninfected,COM,SEX_MLE,2006,0.1,0.1,0.01
incidence_per_1000_uninfected,MRT,SEX_BTSX,2009,0.12,0.19,0.1
incidence_per_1000_uninfected,COG,SEX_BTSX,2007,1.9,2.2,1.6
incidence_per_1000_uninfected,COD,SEX_BTSX,2013,0.44,0.56,0.34
incidence_per_1000_uninfected,ETH,SEX_BTSX,2016,0.17,0.35,0.1
incidence_per_1000_uninfected,TCD,SEX_BTSX,1996,1.8,2.5,1.4
incidence_per_1000_uninfected,MUS,SEX_BTSX,2018,,,
incidence_per_1000_uninfected,GNB,SEX_FMLE,2024,0.5,0.8,0.29
incidence_per_1000_uninfected,NER,SEX_MLE,2014,0.1,0.1,0.1
incidence_per_1000_uninfected,BFA,SEX_FMLE,2004,0.57,0.7,0.46
incidence_per_1000_uninfected,TZA,SEX_BTSX,1999,3.7,4.2,3.4
incidence_per_1000_uninfected,TGO,SEX_BTSX,2015,0.56,0.77,0.38
incidence_per_1000_uninfected,GHA,SEX_MLE,2009,0.8,1.0,0.66
incidence_per_1000_uninfected,CIV,SEX_MLE,2019,0.3,0.47,0.17
incidence_per_1000_uninfected,BEN,SEX_FMLE,2006,0.7,0.84,0.6
incidence_per_1000_uninfected,MOZ,SEX_MLE,2018,3.8,4.6,3.3
incidence_per_1000_uninfected,LBR,SEX_FMLE,2007,,,
incidence_per_1000_uninfected,MWI,SEX_MLE,1990,11.6,12.9,10.8
incidence_per_1000_uninfected,CAF,SEX_MLE,1995,5.5,7.2,4.4
incidence_per_1000_uninfected,COD,SEX_BTSX,2014,0.4,0.51,0.3
incidence_per_1000_uninfected,NER,SEX_BTSX,2020,0.1,0.1,0.1
incidence_per_1000_uninfected,CIV,SEX_FMLE,1999,4.9,5.7,4.1
incidence_per_1000_uninfected,NER,SEX_FMLE,2014,0.1,0.1,0.1
incidence_per_1000_uninfected,CAF,SEX_MLE,1993,5.6,7.8,4.2
incidence_per_1000_uninfected,GNQ,SEX_FMLE,1990,,,
incidence_per_1000_uninfected,GNB,SEX_MLE,2021,0.49,0.69,0.33
incidence_per_1000_uninfected,CAF,SEX_FMLE,2002,4.1,4.9,3.3
incidence_per_1000_uninfected,SYC,SEX_FMLE,2009,,,
incidence_per_1000_uninfected,MLI,SEX_BTSX,2024,0.17,0.27,0.12
incidence_per_1000_uninfected,MWI,SEX_BTSX,2021,0.87,1.1,0.72
incidence_per_1000_uninfected,LBR,SEX_BTSX,2018,,,
incidence_per_1000_uninfected,GNB,SEX_MLE,2024,0.31,0.49,0.2
incidence_per_1000_uninfected,LSO,SEX_FMLE,2009,15.6,18.6,13.6
incidence_per_1000_uninfected,MRT,SEX_BTSX,1993,0.43,0.59,0.31
incidence_per_1000_uninfected,ERI,SEX_MLE,2024,0.1,0.12,0.1
incidence_per_1000_uninfected,ERI,SEX_MLE,1991,1.9,3.0,1.3
incidence_per_1000_uninfected,GNB,SEX_MLE,2006,2.2,2.7,1.8
incidence_per_1000_uninfected,UGA,SEX_FMLE,2001,5.1,5.6,4.8
incidence_per_1000_uninfected,GHA,SEX_FMLE,1991,2.7,3.3,1.9
incidence_per_1000_uninfected,ETH,SEX_BTSX,2011,0.31,0.62,0.18
incidence_per_1000_uninfected,RWA,SEX_BTSX,1993,4.5,5.3,3.7
incidence_per_1000_uninfected,MWI,SEX_FMLE,2016,2.7,3.1,2.4
incidence_per_1000_uninfected,BFA,SEX_FMLE,1992,2.2,2.8,1.7
incidence_per_1000_uninfected,MRT,SEX_MLE,2015,0.1,0.1,0.1
incidence_per_1000_uninfected,BWA,SEX_FMLE,2011,9.2,9.9,8.0
incidence_per_1000_uninfected,CPV,SEX_BTSX,2011,0.39,0.5,0.32
incidence_per_1000_uninfected,GAB,SEX_MLE,2007,1.7,2.1,1.4
incidence_per_1000_uninfected,LBR,SEX_FMLE,2009,,,
incidence_per_1000_uninfected,STP,SEX_MLE,2023,,,
incidence_per_1000_uninfected,TZA,SEX_BTSX,2010,2.0,2.3,1.8
incidence_per_1000_uninfected,UGA,SEX_BTSX,2001,4.8,5.3,4.5
incidence_per_1000_uninfected,GIN,SEX_FMLE,2011,0.98,1.2,0.82
incidence_per_1000_uninfected,KEN,SEX_BTSX,2005,3.0,4.7,1.9
