country,metric,year,"98-98-99 treatment, 2024 prevention",95-95-95 treatment and prevention reaches 2030 target,"95-95-95 treatment, 2024 level of prevention",2024 level all HIV services,Historical trend,"2024 level treatment, reduced prevention"
Benin,aids_deaths,2029,809.1166477916195,763.5118912797282,791.4631936579841,991.5356738391846,995.9490373725935,
Benin,aids_deaths,2030,764.9830124575311,714.964892412231,741.445073612684,962.1132502831257,966.5266138165346,
Botswana,new_infections,2020,6685.8314,,,,,
Botswana,new_infections,2021,5507.36175,,,,,
Botswana,new_infections,2022,4660.65745,,,,,
Botswana,new_infections,2023,4343.68214,,,,,
Botswana,new_infections,2024,4159.33694,,,,,
Botswana,new_infections,2025,3523.3731574864237,3523.3731574864237,3523.3731574864237,3523.3731574864237,3523.3731574864237,3523.3731574864237
Botswana,new_infections,2026,3165.2280837858807,2723.1931730023275,3536.2792862684255,3313.6485647788986,3516.920093095423,
Botswana,new_infections,2027,2832.895267649341,2358.595034910784,3462.0690457719165,3142.642358417378,3458.842513576416,
Botswana,new_infections,2028,2519.921644685803,2045.621411947246,3374.9526764934058,2971.6361520558576,3394.3118696664083,
Botswana,new_infections,2029,2226.307214895268,1768.1396431342127,3281.3832428238948,2803.856477889837,3333.0077579519007,
Botswana,new_infections,2030,1935.919317300233,1648.7579519006983,3091.0178432893717,2639.3033359193173,3158.77501939488,
Botswana,aids_deaths,2020,4386.58105,,,,,
Botswana,aids_deaths,2021,4314.79224,,,,,
Botswana,aids_deaths,2022,4037.22729,,,,,
Botswana,aids_deaths,2023,3851.31177,,,,,
Botswana,aids_deaths,2024,3758.51953,,,,,
Botswana,aids_deaths,2025,3535.6513452914796,3533.544282511211,3533.544282511211,3533.544282511211,3533.544282511211,3533.544282511211
Botswana,aids_deaths,2026,3451.3688340807175,3464.0112107623318,3493.5100896860986,3474.5465246636772,3474.5465246636772,
Botswana,aids_deaths,2027,3316.5168161434976,3400.79932735426,3440.833520179372,3432.4052690582957,3434.512331838565,
Botswana,aids_deaths,2028,3175.3436098654706,3364.979260089686,3398.692264573991,3398.692264573991,3400.79932735426,
Botswana,aids_deaths,2029,3044.705717488789,3337.587443946188,3360.765134529148,3360.765134529148,3364.979260089686,
Botswana,aids_deaths,2030,2918.2819506726455,3305.9815022421526,3310.1956278026905,3310.1956278026905,3310.1956278026905,
Burkina Faso,new_infections,2020,2793.02805,,,,,
Burkina Faso,new_infections,2021,3078.11818,,,,,
Burkina Faso,new_infections,2022,2938.52375,,,,,
Burkina Faso,new_infections,2023,3125.02196,,,,,
Burkina Faso,new_infections,2024,2956.77569,,,,,
Burkina Faso,new_infections,2025,2770.6212923728813,2770.6212923728813,2770.6212923728813,2770.6212923728813,2770.6212923728813,2770.6212923728813
Burkina Faso,new_infections,2026,2426.0556144067796,1804.2711864406779,2227.147245762712,2662.552966101695,2736.164724576271,
Burkina Faso,new_infections,2027,2064.2616525423728,1281.1578389830509,1866.9194915254236,2560.749470338983,2673.5164194915255,
Burkina Faso,new_infections,2028,1727.5270127118645,914.6652542372881,1564.6414194915253,2465.2108050847455,2617.132944915254,
Burkina Faso,new_infections,2029,1411.1530720338983,682.8665254237288,1287.4226694915253,2372.8045550847455,2563.8818855932204,
Burkina Faso,new_infections,2030,858.2817796610169,629.6154661016949,1213.8109110169491,2291.361758474576,2485.571504237288,
Burkina Faso,aids_deaths,2020,2752.69958,,,,,
Burkina Faso,aids_deaths,2021,2657.39453,,,,,
Burkina Faso,aids_deaths,2022,2512.15253,,,,,
Burkina Faso,aids_deaths,2023,2330.66803,,,,,
Burkina Faso,aids_deaths,2024,2148.68408,,,,,
Burkina Faso,aids_deaths,2025,2050.2866948257656,2046.8827877507922,2046.8827877507922,2046.8827877507922,2046.8827877507922,2046.8827877507922
Burkina Faso,aids_deaths,2026,1893.7069693769802,1809.743928194298,1852.8600844772968,1986.7470960929252,2010.5744456177404,
Burkina Faso,aids_deaths,2027,1653.1642027455123,1462.5454065469905,1544.239176346357,1949.3041182682157,1983.3431890179515,
Burkina Faso,aids_deaths,2028,1347.947201689546,1163.0015839493137,1243.5607180570223,1898.2455121436114,1941.3616684266105,
Burkina Faso,aids_deaths,2029,1128.9625131995776,989.40232312566,1048.403379091869,1842.6483632523762,1892.5723336853223,
Burkina Faso,aids_deaths,2030,988.2676874340021,855.5153115100318,915.6510031678987,1783.647307286167,1831.3020063357974,
Burundi,new_infections,2020,1359.99238,,,,,
Burundi,new_infections,2021,1502.48767,,,,,
Burundi,new_infections,2022,1394.83696,,,,,
Burundi,new_infections,2023,1309.98975,,,,,
Burundi,new_infections,2024,1434.53566,,,,,
Burundi,new_infections,2025,1234.5084087968953,1234.5084087968953,1234.5084087968953,1234.5084087968953,1234.5084087968953,1234.5084087968953
Burundi,new_infections,2026,1021.0219922380337,809.391979301423,967.1862871927556,1124.980595084088,1240.0776196636482,
Burundi,new_infections,2027,816.8175937904269,603.3311772315653,814.961190168176,1028.4476067270375,1201.0931435963778,
Burundi,new_infections,2028,633.0336351875809,434.3984476067271,679.4437257438551,939.340232858991,1163.9650711513584,
Burundi,new_infections,2029,473.3829236739974,295.16817593790427,562.490297542044,857.6584734799483,1128.6934023285899,
Burundi,new_infections,2030,328.58344113842173,271.03492884864164,510.51099611901685,779.6895213454076,1032.1604139715396,
Burundi,aids_deaths,2020,1361.86737,,,,,
Burundi,aids_deaths,2021,1261.09851,,,,,
Burundi,aids_deaths,2022,1210.74805,,,,,
Burundi,aids_deaths,2023,1167.1759,,,,,
Burundi,aids_deaths,2024,1112.52625,,,,,
Burundi,aids_deaths,2025,1048.4290076335878,1046.7297709923664,1046.7297709923664,1046.7297709923664,1046.7297709923664,1046.7297709923664
Burundi,aids_deaths,2026,973.6625954198473,958.3694656488549,961.7679389312976,990.6549618320611,994.0534351145038,
Burundi,aids_deaths,2027,871.7083969465648,844.5206106870229,851.3175572519084,941.3770992366411,948.1740458015266,
Burundi,aids_deaths,2028,762.9572519083969,735.769465648855,744.2656488549618,895.497709923664,905.6931297709923,
Burundi,aids_deaths,2029,689.8900763358778,667.8,676.2961832061069,854.7160305343511,868.3099236641222,
Burundi,aids_deaths,2030,630.4167938931297,628.7175572519084,638.9129770992366,815.6335877862595,832.6259541984732,
Cameroon,new_infections,2020,19497.50413,,,,,
Cameroon,new_infections,2021,17079.60663,,,,,
Cameroon,new_infections,2022,14250.29381,,,,,
Cameroon,new_infections,2023,13029.14973,,,,,
Cameroon,new_infections,2024,13134.04632,,,,,
Cameroon,new_infections,2025,11701.892348418,11701.892348418,11701.892348418,11701.892348418,11701.892348418,11701.892348418
Cameroon,new_infections,2026,10107.534350182781,8314.502458086474,9549.591831589561,10958.520862221101,11256.531703012732,
Cameroon,new_infections,2027,8450.262952224883,6374.120761376528,7996.6242279087355,10278.06277574688,10726.734652716501,
Cameroon,new_infections,2028,6923.785201058868,4839.364931299634,6718.488844069078,9638.99508382705,10225.083070717257,
Cameroon,new_infections,2029,5521.478633556031,3549.640236984747,5569.491491239128,9018.139165511155,9735.020799193242,
Cameroon,new_infections,2030,4165.529307954115,3203.616538510021,5054.594982982478,8437.018025967478,9140.654733392159,
Cameroon,aids_deaths,2020,15683.14502,,,,,
Cameroon,aids_deaths,2021,13646.93457,,,,,
Cameroon,aids_deaths,2022,11875.35107,,,,,
Cameroon,aids_deaths,2023,10393.04639,,,,,
Cameroon,aids_deaths,2024,9438.30469,,,,,
Cameroon,aids_deaths,2025,8713.401544401546,8690.976833976834,8690.976833976834,8690.976833976834,8690.976833976834,8690.976833976834
Cameroon,aids_deaths,2026,8151.38223938224,8033.65250965251,8061.683397683398,8427.486486486487,8430.289575289577,
Cameroon,aids_deaths,2027,7352.501930501931,7070.791505791506,7129.656370656371,8278.922779922781,8284.528957528959,
Cameroon,aids_deaths,2028,6434.490347490348,6071.490347490348,6144.370656370656,8085.509652509653,8093.918918918919,
Cameroon,aids_deaths,2029,5736.521235521236,5437.992277992278,5522.084942084943,7844.444015444016,7854.254826254827,
Cameroon,aids_deaths,2030,5248.783783783784,5039.953667953669,5131.054054054054,7590.7644787644795,7601.976833976834,
Central African Republic,new_infections,2020,5236.80407,,,,,
Central African Republic,new_infections,2021,5087.90703,,,,,
Central African Republic,new_infections,2022,4723.79276,,,,,
Central African Republic,new_infections,2023,4087.82336,,,,,
Central African Republic,new_infections,2024,3950.18557,,,,,
Central African Republic,new_infections,2025,3755.4974704890387,3754.165261382799,3754.165261382799,3754.165261382799,3754.165261382799,3754.165261382799
Central African Republic,new_infections,2026,3405.1264755480606,2495.227655986509,3206.627318718381,3676.8971332209103,3784.806070826307,
Central African Republic,new_infections,2027,2874.9072512647554,1726.5430016863406,2599.139966273187,3608.954468802698,3779.477234401349,
Central African Republic,new_infections,2028,2322.0404721753794,1184.3338954468802,2115.548060708263,3539.679595278246,3775.4806070826307,
Central African Republic,new_infections,2029,1754.5193929173693,774.0134907251264,1638.6172006745362,3471.7369308600337,3774.148397976391,
Central African Republic,new_infections,2030,1144.3676222596964,675.4300168634064,1393.4907251264756,3402.4620573355814,3718.195615514334,
Central African Republic,aids_deaths,2020,4192.80811,,,,,
Central African Republic,aids_deaths,2021,3743.80444,,,,,
Central African Republic,aids_deaths,2022,3302.7666,,,,,
Central African Republic,aids_deaths,2023,2934.79041,,,,,
Central African Republic,aids_deaths,2024,2715.44312,,,,,
Central African Republic,aids_deaths,2025,2656.393072289157,2653.667168674699,2653.667168674699,2653.667168674699,2653.667168674699,2653.667168674699
Central African Republic,aids_deaths,2026,2421.9653614457834,2311.566265060241,2336.0993975903616,2629.1340361445787,2631.8599397590365,
Central African Republic,aids_deaths,2027,2022.620481927711,1795.007530120482,1842.710843373494,2625.045180722892,2627.7710843373497,
Central African Republic,aids_deaths,2028,1613.7349397590363,1397.0256024096386,1452.9066265060242,2610.0527108433735,2610.0527108433735,
Central African Republic,aids_deaths,2029,1312.522590361446,1165.323795180723,1219.8418674698796,2580.0677710843374,2577.3418674698796,
Central African Republic,aids_deaths,2030,1150.331325301205,1007.2213855421687,1064.4653614457832,2541.905120481928,2535.0903614457834,
Chad,new_infections,2020,4657.31436,,,,,
Chad,new_infections,2021,4303.89357,,,,,
Chad,new_infections,2022,4353.63413,,,,,
Chad,new_infections,2023,4002.77267,,,,,
Chad,new_infections,2024,4273.14602,,,,,
Chad,new_infections,2025,4059.9469159681926,4059.9469159681926,4059.9469159681926,4059.9469159681926,4059.9469159681926,4059.9469159681926
Chad,new_infections,2026,3690.777347947561,2965.2948635289063,3507.1108961960026,3923.1154094132817,4136.16849344509,
Chad,new_infections,2027,3196.7145927358692,2317.8706211046638,2957.029873200086,3786.2839028583708,4123.31184182248,
