bacteria,sex,rr_mu,rr_lower,rr_upper
Gonorrhea,Both,1.8,1.1999257159191405,2.700167149529058
Gonorrhea,Women,1.6,1.08314061090419,2.363497383652663
Chlamydia,Both,1.8,1.0721453114637178,3.0219784252721085
Chlamydia,Women,1.8,1.0721453114637178,3.0219784252721085
Trichomoniasis,Both,0.9,0.6603882386836107,1.2265512202558586
Trichomoniasis,Women,0.9,0.6603882386836107,1.2265512202558586
Syphilis,Both,1.3,0.8946703274474325,1.8889639548253578
Syphilis,Women,1.3,0.8946703274474325,1.8889639548253578
