bacteria,sex,rr_mu,rr_lower,rr_upper
Gonorrhea,Heterosexual Men,3.3045423283716606,1.6001961459525142,6.824163417478975
Gonorrhea,Heterosexual Women,2.6199236630100504,1.930426094918885,3.555691677638878
Syphilis,Heterosexual Women,1.768897962009115,1.0426637620727706,3.000967439186419
Syphilis,Heterosexual Men,2.29128784747792,1.1031194892788205,4.75923057386309
Trichomoniasis,Heterosexual Women,1.5049916943292412,1.2169537957874168,1.8612045977755929
Trichomoniasis,Heterosexual Men,1.0,1.0,1.0
Chlamydia,Heterosexual Women,2.306512518934159,1.346308778864788,3.9515452053174904
Chlamydia,Heterosexual Men,0.8,0.31379012180229937,2.0395798195432873
