Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Dominican Republic,7000 ,4300 , 13 000,,10 000 ,6300 , 16 000,,14 000 ,8900 , 20 000,,17 000 ,12 000 , 24 000,,21 000 ,15 000 , 28 000,,25 000 ,18 000 , 33 000,,28 000 ,21 000 , 35 000,,30 000 ,23 000 , 38 000,,31 000 ,25 000 , 39 000,,33 000 ,27 000 , 41 000,,34 000 ,28 000 , 41 000,,35 000 ,29 000 , 42 000,,35 000 ,29 000 , 42 000,,35 000 ,29 000 , 42 000,,35 000 ,29 000 , 41 000,,35 000 ,29 000 , 41 000,,35 000 ,29 000 , 40 000,,35 000 ,29 000 , 40 000,,35 000 ,29 000 , 40 000,,35 000 ,30 000 , 40 000,,35 000 ,30 000 , 41 000,,35 000 ,30 000 , 41 000,,35 000 ,30 000 , 40 000,,35 000 ,30 000 , 41 000,,35 000 ,29 000 , 41 000,,35 000 ,29 000 , 41 000,,35 000 ,29 000 , 41 000,,35 000 ,29 000 , 42 000,,36 000 ,29 000 , 42 000,,36 000 ,29 000 , 43 000,,37 000 ,29 000 , 44 000,,38 000 ,29 000 , 45 000,,39 000 ,30 000 , 46 000,,39 000 ,30 000 , 48 000,,40 000 ,31 000 , 49 000,
Ecuador,2500 ,1400 , 4700,,3400 ,1900 , 6200,,4500 ,2500 , 7900,,5900 ,3400 , 9700,,7500 ,4600 , 12 000,,9200 ,6000 , 14 000,,11 000 ,7500 , 16 000,,13 000 ,8900 , 17 000,,14 000 ,10 000 , 18 000,,15 000 ,12 000 , 20 000,,17 000 ,13 000 , 21 000,,18 000 ,14 000 , 22 000,,18 000 ,15 000 , 22 000,,19 000 ,16 000 , 23 000,,20 000 ,17 000 , 23 000,,20 000 ,17 000 , 24 000,,21 000 ,18 000 , 24 000,,21 000 ,19 000 , 25 000,,22 000 ,19 000 , 25 000,,23 000 ,20 000 , 26 000,,23 000 ,21 000 , 27 000,,24 000 ,21 000 , 28 000,,25 000 ,22 000 , 28 000,,26 000 ,22 000 , 29 000,,26 000 ,23 000 , 30 000,,27 000 ,23 000 , 30 000,,27 000 ,24 000 , 31 000,,28 000 ,25 000 , 32 000,,29 000 ,25 000 , 33 000,,30 000 ,26 000 , 34 000,,30 000 ,27 000 , 35 000,,31 000 ,28 000 , 36 000,,32 000 ,28 000 , 36 000,,33 000 ,29 000 , 38 000,,34 000 ,29 000 , 39 000,
Egypt,3000 ,2000 , 5000,,3500 ,2300 , 5900,,4100 ,2600 , 6800,,4600 ,2900 , 7400,,5100 ,3200 , 8100,,5600 ,3500 , 8700,,6200 ,4000 , 9400,,6700 ,4500 , 10 000,,7300 ,4900 , 10 000,,7800 ,5400 , 11 000,,8400 ,5900 , 11 000,,8900 ,6400 , 12 000,,9500 ,7000 , 13 000,,10 000 ,7500 , 13 000,,11 000 ,8000 , 14 000,,11 000 ,8600 , 14 000,,12 000 ,9300 , 15 000,,13 000 ,9900 , 16 000,,14 000 ,11 000 , 18 000,,15 000 ,11 000 , 19 000,,16 000 ,12 000 , 20 000,,17 000 ,13 000 , 22 000,,18 000 ,14 000 , 24 000,,19 000 ,15 000 , 25 000,,21 000 ,16 000 , 27 000,,22 000 ,17 000 , 30 000,,24 000 ,18 000 , 32 000,,26 000 ,19 000 , 34 000,,28 000 ,21 000 , 37 000,,30 000 ,23 000 , 41 000,,33 000 ,24 000 , 44 000,,35 000 ,26 000 , 48 000,,38 000 ,28 000 , 52 000,,42 000 ,31 000 , 57 000,,45 000 ,33 000 , 63 000,
El Salvador,1200 ,930 , 1500,,1800 ,1400 , 2200,,2500 ,2000 , 3000,,3300 ,2800 , 4000,,4300 ,3600 , 5000,,5400 ,4600 , 6200,,6500 ,5600 , 7400,,7700 ,6600 , 8700,,8800 ,7700 , 9900,,9800 ,8700 , 11 000,,11 000 ,9600 , 12 000,,12 000 ,10 000 , 13 000,,12 000 ,11 000 , 14 000,,13 000 ,11 000 , 14 000,,13 000 ,12 000 , 14 000,,13 000 ,12 000 , 14 000,,13 000 ,12 000 , 14 000,,13 000 ,12 000 , 15 000,,13 000 ,12 000 , 14 000,,13 000 ,12 000 , 14 000,,13 000 ,12 000 , 14 000,,13 000 ,12 000 , 14 000,,13 000 ,11 000 , 14 000,,13 000 ,11 000 , 14 000,,12 000 ,11 000 , 14 000,,12 000 ,11 000 , 14 000,,12 000 ,11 000 , 13 000,,12 000 ,11 000 , 13 000,,12 000 ,11 000 , 13 000,,12 000 ,11 000 , 14 000,,12 000 ,11 000 , 14 000,,13 000 ,11 000 , 14 000,,13 000 ,11 000 , 14 000,,13 000 ,12 000 , 15 000,,14 000 ,12 000 , 15 000,
Equatorial Guinea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Eritrea,6700 ,3900 , 13 000,,6700 ,4000 , 12 000,,7400 ,4600 , 13 000,,8700 ,5600 , 15 000,,9200 ,6000 , 15 000,,11 000 ,7600 , 17 000,,11 000 ,7700 , 17 000,,11 000 ,7800 , 16 000,,11 000 ,7900 , 15 000,,11 000 ,7900 , 15 000,,10 000 ,7700 , 14 000,,10 000 ,7800 , 14 000,,10 000 ,7600 , 13 000,,10 000 ,7700 , 13 000,,9500 ,7300 , 12 000,,8900 ,6800 , 11 000,,8100 ,6300 , 10 000,,7700 ,6000 , 9500,,7500 ,5800 , 9300,,7100 ,5500 , 8800,,6900 ,5400 , 8400,,6500 ,5100 , 8000,,6300 ,4900 , 7700,,6000 ,4800 , 7400,,5800 ,4600 , 7000,,5500 ,4400 , 6800,,5400 ,4300 , 6500,,5200 ,4200 , 6300,,5100 ,4200 , 6200,,5000 ,4100 , 6000,,4900 ,4000 , 5800,,4800 ,3900 , 5700,,4700 ,3900 , 5600,,4700 ,3800 , 5600,,4600 ,3800 , 5600,
Estonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <500,"Children estimates were not available at the time of publication.",750 ,580 , 920,"Children estimates were not available at the time of publication.",1300 ,1000 , 1500,"Children estimates were not available at the time of publication.",1800 ,1400 , 2100,"Children estimates were not available at the time of publication.",2100 ,1700 , 2500,"Children estimates were not available at the time of publication.",2400 ,2000 , 2800,"Children estimates were not available at the time of publication.",2700 ,2200 , 3000,"Children estimates were not available at the time of publication.",2900 ,2300 , 3300,"Children estimates were not available at the time of publication.",3100 ,2500 , 3400,"Children estimates were not available at the time of publication.",3200 ,2600 , 3600,"Children estimates were not available at the time of publication.",3300 ,2700 , 3700,"Children estimates were not available at the time of publication.",3400 ,2800 , 3800,"Children estimates were not available at the time of publication.",3500 ,2900 , 3800,"Children estimates were not available at the time of publication.",3500 ,2900 , 3900,"Children estimates were not available at the time of publication.",3600 ,3000 , 3900,"Children estimates were not available at the time of publication.",3600 ,3000 , 4000,"Children estimates were not available at the time of publication.",3700 ,3100 , 4100,"Children estimates were not available at the time of publication.",3700 ,3200 , 4100,"Children estimates were not available at the time of publication.",3800 ,3200 , 4200,"Children estimates were not available at the time of publication.",3800 ,3300 , 4300,"Children estimates were not available at the time of publication.",3900 ,3300 , 4300,"Children estimates were not available at the time of publication.",3900 ,3400 , 4400,"Children estimates were not available at the time of publication.",3900 ,3400 , 4500,"Children estimates were not available at the time of publication.",3900 ,3500 , 4500,"Children estimates were not available at the time of publication.",3900 ,3500 , 4500,"Children estimates were not available at the time of publication."
Eswatini,2900 ,2400 , 3700,,5700 ,4700 , 7100,,10 000 ,8300 , 12 000,,16 000 ,13 000 , 19 000,,21 000 ,17 000 , 25 000,,28 000 ,24 000 , 33 000,,36 000 ,31 000 , 41 000,,43 000 ,37 000 , 49 000,,48 000 ,43 000 , 55 000,,53 000 ,48 000 , 61 000,,58 000 ,52 000 , 64 000,,61 000 ,55 000 , 68 000,,63 000 ,58 000 , 70 000,,65 000 ,60 000 , 72 000,,67 000 ,62 000 , 74 000,,68 000 ,63 000 , 75 000,,69 000 ,64 000 , 76 000,,71 000 ,66 000 , 77 000,,72 000 ,67 000 , 78 000,,74 000 ,69 000 , 80 000,,76 000 ,71 000 , 82 000,,78 000 ,72 000 , 84 000,,80 000 ,74 000 , 86 000,,82 000 ,76 000 , 88 000,,84 000 ,78 000 , 90 000,,85 000 ,80 000 , 92 000,,86 000 ,81 000 , 93 000,,87 000 ,81 000 , 95 000,,88 000 ,82 000 , 96 000,,89 000 ,82 000 , 97 000,,88 000 ,82 000 , 98 000,,88 000 ,82 000 , 98 000,,86 000 ,81 000 , 96 000,,85 000 ,79 000 , 94 000,,84 000 ,78 000 , 93 000,
Ethiopia,180 000 ,150 000 , 210 000,,220 000 ,180 000 , 260 000,,250 000 ,210 000 , 300 000,,280 000 ,240 000 , 340 000,,300 000 ,250 000 , 360 000,,310 000 ,260 000 , 370 000,,310 000 ,260 000 , 380 000,,310 000 ,260 000 , 370 000,,310 000 ,260 000 , 370 000,,300 000 ,250 000 , 350 000,,280 000 ,240 000 , 340 000,,270 000 ,230 000 , 320 000,,260 000 ,220 000 , 310 000,,240 000 ,200 000 , 290 000,,230 000 ,190 000 , 280 000,,220 000 ,180 000 , 260 000,,210 000 ,180 000 , 250 000,,210 000 ,170 000 , 250 000,,200 000 ,170 000 , 240 000,,200 000 ,170 000 , 240 000,,210 000 ,170 000 , 250 000,,210 000 ,170 000 , 250 000,,210 000 ,180 000 , 250 000,,210 000 ,180 000 , 250 000,,210 000 ,180 000 , 250 000,,210 000 ,180 000 , 250 000,,210 000 ,180 000 , 250 000,,210 000 ,180 000 , 250 000,,210 000 ,180 000 , 250 000,,210 000 ,170 000 , 250 000,,210 000 ,170 000 , 250 000,,210 000 ,170 000 , 250 000,,200 000 ,170 000 , 240 000,,200 000 ,170 000 , 240 000,,200 000 ,170 000 , 240 000,
Fiji,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , 600,,590 ,<500 , 770,,760 ,550 , 980,,970 ,740 , 1200,,1200 ,960 , 1600,,1600 ,1200 , 2000,,2000 ,1500 , 2600,,2500 ,1800 , 3600,,3100 ,2200 , 4900,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,30 000 ,24 000 , 36 000,,32 000 ,26 000 , 38 000,,34 000 ,28 000 , 41 000,,36 000 ,29 000 , 43 000,,38 000 ,31 000 , 45 000,,39 000 ,32 000 , 47 000,,40 000 ,33 000 , 47 000,,42 000 ,35 000 , 49 000,,45 000 ,38 000 , 53 000,,48 000 ,41 000 , 56 000,,52 000 ,43 000 , 60 000,,55 000 ,46 000 , 65 000,,59 000 ,49 000 , 69 000,,62 000 ,51 000 , 73 000,,66 000 ,54 000 , 77 000,,69 000 ,57 000 , 80 000,,72 000 ,59 000 , 84 000,,75 000 ,61 000 , 87 000,,78 000 ,63 000 , 90 000,,81 000 ,65 000 , 93 000,,84 000 ,68 000 , 97 000,,87 000 ,70 000 , 100 000,,90 000 ,72 000 , 100 000,,93 000 ,75 000 , 110 000,,95 000 ,77 000 , 110 000,,98 000 ,79 000 , 110 000,,100 000 ,82 000 , 110 000,,100 000 ,84 000 , 120 000,,110 000 ,87 000 , 120 000,,110 000 ,89 000 , 120 000,,110 000 ,91 000 , 130 000,,110 000 ,93 000 , 130 000,,120 000 ,96 000 , 130 000,,120 000 ,99 000 , 130 000,,... ,... , ...,
Gabon,2100 ,1100 , 3900,,2700 ,1400 , 4700,,3400 ,1900 , 5900,,4200 ,2500 , 7000,,5100 ,3100 , 8500,,6100 ,3900 , 9900,,7000 ,4600 , 11 000,,7900 ,5500 , 12 000,,8700 ,6100 , 13 000,,9300 ,6600 , 13 000,,9800 ,7000 , 14 000,,10 000 ,7300 , 14 000,,11 000 ,7600 , 14 000,,11 000 ,8100 , 14 000,,11 000 ,8300 , 14 000,,12 000 ,8800 , 14 000,,12 000 ,9200 , 15 000,,13 000 ,9900 , 15 000,,13 000 ,10 000 , 16 000,,14 000 ,11 000 , 16 000,,14 000 ,12 000 , 17 000,,15 000 ,12 000 , 17 000,,15 000 ,13 000 , 18 000,,15 000 ,13 000 , 18 000,,16 000 ,13 000 , 18 000,,16 000 ,14 000 , 18 000,,16 000 ,14 000 , 18 000,,16 000 ,14 000 , 18 000,,16 000 ,14 000 , 18 000,,15 000 ,13 000 , 18 000,,15 000 ,13 000 , 18 000,,15 000 ,13 000 , 18 000,,15 000 ,13 000 , 18 000,,15 000 ,12 000 , 18 000,,14 000 ,12 000 , 18 000,
Gambia,<500 ,<200 , 990,,660 ,<500 , 1300,,930 ,510 , 1700,,1300 ,730 , 2200,,1700 ,1000 , 2700,,2200 ,1400 , 3400,,2800 ,1800 , 4000,,3400 ,2300 , 4700,,4000 ,2800 , 5500,,4700 ,3400 , 6400,,5300 ,3900 , 7200,,5900 ,4300 , 8000,,6400 ,4800 , 8700,,6900 ,5200 , 9400,,7300 ,5500 , 9900,,7700 ,5900 , 10 000,,8100 ,6300 , 11 000,,8400 ,6600 , 11 000,,8700 ,6900 , 11 000,,9000 ,7100 , 12 000,,9300 ,7400 , 12 000,,9600 ,7600 , 12 000,,9800 ,7900 , 13 000,,10 000 ,8000 , 13 000,,10 000 ,8100 , 13 000,,10 000 ,8100 , 13 000,,10 000 ,8100 , 13 000,,10 000 ,8000 , 13 000,,10 000 ,7800 , 13 000,,9900 ,7700 , 13 000,,9800 ,7500 , 13 000,,9700 ,7400 , 12 000,,9500 ,7200 , 12 000,,9300 ,7000 , 12 000,,9200 ,6900 , 12 000,
Georgia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 540,"Children estimates were not available at the time of publication.",620 ,530 , 710,"Children estimates were not available at the time of publication.",810 ,710 , 900,"Children estimates were not available at the time of publication.",1000 ,910 , 1100,"Children estimates were not available at the time of publication.",1300 ,1100 , 1400,"Children estimates were not available at the time of publication.",1500 ,1400 , 1700,"Children estimates were not available at the time of publication.",1800 ,1700 , 2000,"Children estimates were not available at the time of publication.",2200 ,2000 , 2300,"Children estimates were not available at the time of publication.",2500 ,2300 , 2700,"Children estimates were not available at the time of publication.",2900 ,2600 , 3100,"Children estimates were not available at the time of publication.",3200 ,3000 , 3500,"Children estimates were not available at the time of publication.",3600 ,3300 , 3900,"Children estimates were not available at the time of publication.",4000 ,3700 , 4200,"Children estimates were not available at the time of publication.",4300 ,4100 , 4600,"Children estimates were not available at the time of publication.",4700 ,4400 , 5000,"Children estimates were not available at the time of publication.",5100 ,4800 , 5400,"Children estimates were not available at the time of publication.",5500 ,5100 , 5800,"Children estimates were not available at the time of publication.",5800 ,5500 , 6100,"Children estimates were not available at the time of publication.",6200 ,5800 , 6500,"Children estimates were not available at the time of publication.",6500 ,6100 , 6900,"Children estimates were not available at the time of publication.",6800 ,6400 , 7200,"Children estimates were not available at the time of publication."
Germany,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,53 000 ,41 000 , 63 000,,54 000 ,43 000 , 65 000,,56 000 ,44 000 , 68 000,,58 000 ,45 000 , 70 000,,60 000 ,47 000 , 72 000,,62 000 ,48 000 , 74 000,,64 000 ,50 000 , 77 000,,66 000 ,51 000 , 79 000,,67 000 ,52 000 , 81 000,,69 000 ,53 000 , 83 000,,70 000 ,54 000 , 84 000,,71 000 ,55 000 , 85 000,,73 000 ,57 000 , 87 000,,75 000 ,59 000 , 89 000,,77 000 ,61 000 , 91 000,
Ghana,39 000 ,21 000 , 60 000,,48 000 ,28 000 , 70 000,,56 000 ,36 000 , 77 000,,64 000 ,45 000 , 84 000,,72 000 ,54 000 , 90 000,,78 000 ,62 000 , 97 000,,83 000 ,69 000 , 100 000,,87 000 ,74 000 , 100 000,,90 000 ,78 000 , 110 000,,92 000 ,81 000 , 110 000,,93 000 ,83 000 , 110 000,,95 000 ,84 000 , 110 000,,95 000 ,84 000 , 110 000,,95 000 ,84 000 , 110 000,,95 000 ,84 000 , 110 000,,95 000 ,83 000 , 110 000,,95 000 ,83 000 , 110 000,,95 000 ,83 000 , 110 000,,96 000 ,84 000 , 110 000,,97 000 ,85 000 , 110 000,,98 000 ,86 000 , 110 000,,99 000 ,87 000 , 120 000,,100 000 ,88 000 , 120 000,,100 000 ,89 000 , 120 000,,100 000 ,90 000 , 120 000,,100 000 ,89 000 , 120 000,,100 000 ,89 000 , 120 000,,100 000 ,88 000 , 120 000,,100 000 ,87 000 , 120 000,,99 000 ,86 000 , 120 000,,98 000 ,85 000 , 120 000,,98 000 ,84 000 , 120 000,,97 000 ,84 000 , 120 000,,97 000 ,83 000 , 120 000,,96 000 ,82 000 , 120 000,
Greece,810 ,600 , 1000,"Children estimates were not available at the time of publication.",1000 ,750 , 1300,"Children estimates were not available at the time of publication.",1300 ,940 , 1500,"Children estimates were not available at the time of publication.",1500 ,1100 , 1800,"Children estimates were not available at the time of publication.",1800 ,1400 , 2100,"Children estimates were not available at the time of publication.",2100 ,1600 , 2500,"Children estimates were not available at the time of publication.",2400 ,1900 , 2900,"Children estimates were not available at the time of publication.",2700 ,2100 , 3200,"Children estimates were not available at the time of publication.",3000 ,2400 , 3600,"Children estimates were not available at the time of publication.",3200 ,2600 , 3800,"Children estimates were not available at the time of publication.",3400 ,2800 , 4000,"Children estimates were not available at the time of publication.",3700 ,3000 , 4300,"Children estimates were not available at the time of publication.",4000 ,3200 , 4600,"Children estimates were not available at the time of publication.",4300 ,3500 , 4900,"Children estimates were not available at the time of publication.",4700 ,3800 , 5400,"Children estimates were not available at the time of publication.",5100 ,4200 , 5900,"Children estimates were not available at the time of publication.",5600 ,4600 , 6400,"Children estimates were not available at the time of publication.",6100 ,5000 , 6900,"Children estimates were not available at the time of publication.",6600 ,5400 , 7500,"Children estimates were not available at the time of publication.",7100 ,5800 , 8000,"Children estimates were not available at the time of publication.",7600 ,6200 , 8600,"Children estimates were not available at the time of publication.",8200 ,6600 , 9200,"Children estimates were not available at the time of publication.",8700 ,7000 , 9700,"Children estimates were not available at the time of publication.",9200 ,7500 , 10 000,"Children estimates were not available at the time of publication.",9700 ,7900 , 11 000,"Children estimates were not available at the time of publication.",10 000 ,8300 , 11 000,"Children estimates were not available at the time of publication.",11 000 ,8700 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,9100 , 13 000,"Children estimates were not available at the time of publication.",12 000 ,9400 , 13 000,"Children estimates were not available at the time of publication.",12 000 ,9800 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,10 000 , 14 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication.",14 000 ,11 000 , 16 000,"Children estimates were not available at the time of publication.",14 000 ,12 000 , 16 000,"Children estimates were not available at the time of publication."
Guatemala,3900 ,2100 , 8400,,5100 ,3000 , 9000,,6500 ,4000 , 11 000,,7900 ,5200 , 12 000,,9300 ,6300 , 13 000,,10 000 ,7200 , 14 000,,12 000 ,8200 , 15 000,,12 000 ,9100 , 16 000,,13 000 ,9600 , 17 000,,13 000 ,10 000 , 17 000,,13 000 ,10 000 , 17 000,,13 000 ,10 000 , 17 000,,14 000 ,10 000 , 17 000,,14 000 ,10 000 , 18 000,,14 000 ,11 000 , 18 000,,14 000 ,11 000 , 18 000,,14 000 ,11 000 , 18 000,,15 000 ,11 000 , 18 000,,15 000 ,12 000 , 18 000,,15 000 ,12 000 , 19 000,,16 000 ,12 000 , 19 000,,16 000 ,13 000 , 20 000,,16 000 ,13 000 , 20 000,,16 000 ,13 000 , 20 000,,16 000 ,13 000 , 20 000,,16 000 ,13 000 , 21 000,,17 000 ,14 000 , 21 000,,17 000 ,14 000 , 21 000,,17 000 ,14 000 , 22 000,,18 000 ,15 000 , 22 000,,18 000 ,15 000 , 23 000,,19 000 ,15 000 , 24 000,,19 000 ,16 000 , 25 000,,20 000 ,16 000 , 25 000,,21 000 ,17 000 , 26 000,
